state,district,year,fire_count,frp_sum,log_dm
Haryana,Ambala,2012,363.0,1642.09,5.8971538676367405
Haryana,Ambala,2013,387.0,1896.28,5.961005339623274
Haryana,Ambala,2014,349.0,1745.23,5.857933154483459
Haryana,Ambala,2015,372.0,1723.58,5.921578419643816
Haryana,Ambala,2016,450.0,2318.85,6.111467339502679
Haryana,Ambala,2017,441.0,2055.74,6.091309882077698
Haryana,Ambala,2018,320.0,1364.28,5.771441123130016
Haryana,Ambala,2019,338.0,1532.19,5.82600010738045
Haryana,Ambala,2020,441.0,2144.54,6.091309882077698
Haryana,Ambala,2021,487.0,2068.29,6.1903154058531475
Haryana,Ambala,2022,257.0,1085.52,5.552959584921617
Haryana,Ambala,2023,201.0,746.99,5.308267697401205
Haryana,Bhiwani,2012,2.0,0.6799999999999999,1.0986122886681098
Haryana,Bhiwani,2013,41.0,213.55,3.7376696182833684
Haryana,Bhiwani,2014,4.0,16.65,1.6094379124341003
Haryana,Bhiwani,2015,22.0,124.46000000000001,3.1354942159291497
Haryana,Bhiwani,2016,87.0,364.01,4.477336814478207
Haryana,Bhiwani,2017,43.0,121.79,3.784189633918261
Haryana,Bhiwani,2018,30.0,105.76,3.4339872044851463
Haryana,Bhiwani,2019,21.0,68.27,3.091042453358316
Haryana,Bhiwani,2020,36.0,116.09,3.6109179126442243
Haryana,Bhiwani,2021,36.0,113.56,3.6109179126442243
Haryana,Bhiwani,2022,28.0,89.96000000000001,3.367295829986474
Haryana,Bhiwani,2023,35.0,97.67,3.58351893845611
Haryana,Faridabad,2012,9.0,20.12,2.302585092994046
Haryana,Faridabad,2013,9.0,30.06,2.302585092994046
Haryana,Faridabad,2014,6.0,19.3,1.9459101490553132
Haryana,Faridabad,2015,11.0,39.370000000000005,2.4849066497880004
Haryana,Faridabad,2016,18.0,65.39,2.9444389791664403
Haryana,Faridabad,2017,8.0,21.41,2.1972245773362196
Haryana,Faridabad,2018,8.0,12.37,2.1972245773362196
Haryana,Faridabad,2019,19.0,39.04,2.995732273553991
Haryana,Faridabad,2020,16.0,18.53,2.833213344056216
Haryana,Faridabad,2021,28.0,25.82,3.367295829986474
Haryana,Faridabad,2022,8.0,18.17,2.1972245773362196
Haryana,Faridabad,2023,15.0,27.5,2.772588722239781
Haryana,Fatehabad,2012,2926.0,18900.76,7.9817332866918855
Haryana,Fatehabad,2013,3051.0,21747.13,8.023552392404348
Haryana,Fatehabad,2014,2959.0,21293.27,7.992944547318106
Haryana,Fatehabad,2015,3016.0,20032.079999999998,8.012018239159062
Haryana,Fatehabad,2016,4138.0,29766.67,8.328209491748732
Haryana,Fatehabad,2017,3149.0,21172.72,8.055157731819678
Haryana,Fatehabad,2018,2461.0,16578.31,7.808729306744399
Haryana,Fatehabad,2019,1061.0,7668.19,6.967909201801884
Haryana,Fatehabad,2020,1057.0,6989.54,6.964135612418245
Haryana,Fatehabad,2021,2064.0,15264.39,7.632885505395133
Haryana,Fatehabad,2022,789.0,5111.7,6.672032945461067
Haryana,Fatehabad,2023,581.0,3189.1,6.366470447731438
Haryana,Gurgaon,2012,4.0,10.89,1.6094379124341003
Haryana,Gurgaon,2013,8.0,24.69,2.1972245773362196
Haryana,Gurgaon,2014,2.0,4.4799999999999995,1.0986122886681098
Haryana,Gurgaon,2015,6.0,35.01,1.9459101490553132
Haryana,Gurgaon,2016,15.0,65.73,2.772588722239781
Haryana,Gurgaon,2017,2.0,3.35,1.0986122886681098
Haryana,Gurgaon,2018,4.0,17.060000000000002,1.6094379124341003
Haryana,Gurgaon,2019,4.0,13.36,1.6094379124341003
Haryana,Gurgaon,2020,7.0,33.940000000000005,2.0794415416798357
Haryana,Gurgaon,2021,5.0,8.35,1.791759469228055
Haryana,Gurgaon,2022,4.0,13.190000000000001,1.6094379124341003
Haryana,Gurgaon,2023,13.0,123.9,2.6390573296152584
Haryana,Hisar,2012,123.0,368.09,4.820281565605037
Haryana,Hisar,2013,226.0,872.52,5.424950017481403
Haryana,Hisar,2014,103.0,363.79,4.6443908991413725
Haryana,Hisar,2015,150.0,471.82,5.017279836814924
Haryana,Hisar,2016,363.0,1296.82,5.8971538676367405
Haryana,Hisar,2017,191.0,755.43,5.2574953720277815
Haryana,Hisar,2018,229.0,849.33,5.438079308923196
Haryana,Hisar,2019,140.0,555.99,4.948759890378168
Haryana,Hisar,2020,188.0,608.98,5.241747015059643
Haryana,Hisar,2021,497.0,2124.4,6.210600077024653
Haryana,Hisar,2022,222.0,970.09,5.407171771460119
Haryana,Hisar,2023,242.0,892.01,5.493061443340548
Haryana,Jhajjar,2012,11.0,28.04,2.4849066497880004
Haryana,Jhajjar,2013,44.0,152.38,3.8066624897703196
Haryana,Jhajjar,2014,17.0,49.18,2.8903717578961645
Haryana,Jhajjar,2015,17.0,54.78,2.8903717578961645
Haryana,Jhajjar,2016,42.0,159.92,3.7612001156935624
Haryana,Jhajjar,2017,17.0,71.3,2.8903717578961645
Haryana,Jhajjar,2018,35.0,126.96000000000001,3.58351893845611
Haryana,Jhajjar,2019,11.0,19.08,2.4849066497880004
Haryana,Jhajjar,2020,38.0,98.31,3.6635616461296463
Haryana,Jhajjar,2021,27.0,66.81,3.332204510175204
Haryana,Jhajjar,2022,27.0,50.88,3.332204510175204
Haryana,Jhajjar,2023,55.0,86.95,4.02535169073515
Haryana,Jind,2012,551.0,3128.36,6.313548046277095
Haryana,Jind,2013,687.0,3554.47,6.5337888379333435
Haryana,Jind,2014,482.0,2938.16,6.180016653652572
Haryana,Jind,2015,579.0,3262.65,6.363028103540465
Haryana,Jind,2016,730.0,4160.29,6.594413459749778
Haryana,Jind,2017,787.0,4401.97,6.669498089857879
Haryana,Jind,2018,850.0,4828.98,6.7464121285733745
Haryana,Jind,2019,492.0,2568.53,6.20050917404269
Haryana,Jind,2020,614.0,3260.87,6.421622267806518
Haryana,Jind,2021,1527.0,8496.25,7.331714969726466
Haryana,Jind,2022,599.0,3149.81,6.396929655216146
Haryana,Jind,2023,373.0,1898.47,5.924255797414532
Haryana,Kaithal,2012,1362.0,7852.24,7.217443431696533
Haryana,Kaithal,2013,1235.0,6917.33,7.119635638017636
Haryana,Kaithal,2014,1252.0,7491.62,7.133295954896068
Haryana,Kaithal,2015,1110.0,6212.7,7.01301578963963
Haryana,Kaithal,2016,1454.0,8693.31,7.282761179605593
Haryana,Kaithal,2017,1264.0,7384.15,7.142827401161621
Haryana,Kaithal,2018,1242.0,7253.47,7.1252830915107115
Haryana,Kaithal,2019,1136.0,6690.65,7.036148493750536
Haryana,Kaithal,2020,818.0,4980.69,6.70808408385307
Haryana,Kaithal,2021,1287.0,7026.21,7.160845906664299
Haryana,Kaithal,2022,681.0,3748.63,6.525029657843462
Haryana,Kaithal,2023,245.0,1115.0,5.5053315359323625
Haryana,Karnal,2012,1311.0,6624.63,7.179307969504034
Haryana,Karnal,2013,1206.0,5705.43,7.095893221097532
Haryana,Karnal,2014,1387.0,7709.83,7.23561914106675
Haryana,Karnal,2015,1032.0,5297.51,6.940222469119639
Haryana,Karnal,2016,1391.0,7737.83,7.238496840894365
Haryana,Karnal,2017,1286.0,6956.98,7.160069207596127
Haryana,Karnal,2018,833.0,3945.96,6.726233402358747
Haryana,Karnal,2019,1015.0,5512.11,6.923628628138427
Haryana,Karnal,2020,612.0,2920.0,6.418364935936212
Haryana,Karnal,2021,1161.0,5460.61,7.057897937411856
Haryana,Karnal,2022,296.0,1387.09,5.6937321388027
Haryana,Karnal,2023,111.0,420.93,4.718498871295094
Haryana,Kurukshetra,2012,1112.0,5870.5,7.014814351275545
Haryana,Kurukshetra,2013,896.0,5185.05,6.799055862058796
Haryana,Kurukshetra,2014,951.0,5390.99,6.858565034791365
Haryana,Kurukshetra,2015,816.0,4148.25,6.705639094860003
Haryana,Kurukshetra,2016,889.0,4804.2,6.7912214627261855
Haryana,Kurukshetra,2017,955.0,5084.25,6.862757913051401
Haryana,Kurukshetra,2018,641.0,3171.88,6.464588303689961
Haryana,Kurukshetra,2019,687.0,3299.36,6.5337888379333435
Haryana,Kurukshetra,2020,433.0,1995.79,6.073044534100405
Haryana,Kurukshetra,2021,725.0,3561.43,6.587550014824796
Haryana,Kurukshetra,2022,347.0,1611.12,5.8522024797744745
Haryana,Kurukshetra,2023,149.0,519.47,5.0106352940962555
Haryana,Mahendragarh,2012,1.0,5.51,0.6931471805599453
Haryana,Mahendragarh,2013,3.0,9.22,1.3862943611198906
Haryana,Mahendragarh,2014,2.0,15.29,1.0986122886681098
Haryana,Mahendragarh,2015,1.0,3.69,0.6931471805599453
Haryana,Mahendragarh,2016,8.0,21.47,2.1972245773362196
Haryana,Mahendragarh,2017,5.0,14.290000000000001,1.791759469228055
Haryana,Mahendragarh,2018,3.0,6.15,1.3862943611198906
Haryana,Mahendragarh,2019,1.0,4.87,0.6931471805599453
Haryana,Mahendragarh,2020,5.0,12.14,1.791759469228055
Haryana,Mahendragarh,2021,0.0,0.0,0.0
Haryana,Mahendragarh,2022,3.0,16.46,1.3862943611198906
Haryana,Mahendragarh,2023,1.0,1.11,0.6931471805599453
Haryana,Mewat,2012,0.0,0.0,0.0
Haryana,Mewat,2013,1.0,5.06,0.6931471805599453
Haryana,Mewat,2014,1.0,0.27,0.6931471805599453
Haryana,Mewat,2015,1.0,5.65,0.6931471805599453
Haryana,Mewat,2016,12.0,40.93,2.5649493574615367
Haryana,Mewat,2017,3.0,11.29,1.3862943611198906
Haryana,Mewat,2018,3.0,9.76,1.3862943611198906
Haryana,Mewat,2019,0.0,0.0,0.0
Haryana,Mewat,2020,3.0,3.3099999999999996,1.3862943611198906
Haryana,Mewat,2021,3.0,3.8,1.3862943611198906
Haryana,Mewat,2022,0.0,0.0,0.0
Haryana,Mewat,2023,3.0,6.51,1.3862943611198906
Haryana,Palwal,2012,175.0,722.1,5.170483995038151
Haryana,Palwal,2013,265.0,1311.79,5.583496308781699
Haryana,Palwal,2014,170.0,924.01,5.14166355650266
Haryana,Palwal,2015,231.0,1034.33,5.44673737166631
Haryana,Palwal,2016,262.0,1377.79,5.572154032177765
Haryana,Palwal,2017,318.0,1658.06,5.765191102784844
Haryana,Palwal,2018,189.0,977.09,5.247024072160486
Haryana,Palwal,2019,204.0,1150.11,5.3230099791384085
Haryana,Palwal,2020,75.0,365.35,4.330733340286331
Haryana,Palwal,2021,179.0,905.43,5.19295685089021
Haryana,Palwal,2022,83.0,340.78000000000003,4.430816798843313
Haryana,Palwal,2023,79.0,391.64,4.382026634673881
Haryana,Panchkula,2012,25.0,96.56,3.258096538021482
Haryana,Panchkula,2013,21.0,85.15,3.091042453358316
Haryana,Panchkula,2014,23.0,68.84,3.1780538303479458
Haryana,Panchkula,2015,14.0,43.6,2.70805020110221
Haryana,Panchkula,2016,20.0,73.32,3.044522437723423
Haryana,Panchkula,2017,23.0,92.01,3.1780538303479458
Haryana,Panchkula,2018,18.0,59.58,2.9444389791664403
Haryana,Panchkula,2019,25.0,78.47,3.258096538021482
Haryana,Panchkula,2020,28.0,104.53,3.367295829986474
Haryana,Panchkula,2021,54.0,184.32,4.007333185232471
Haryana,Panchkula,2022,30.0,102.21000000000001,3.4339872044851463
Haryana,Panchkula,2023,27.0,113.38,3.332204510175204
Haryana,Panipat,2012,112.0,503.04,4.727387818712341
Haryana,Panipat,2013,149.0,488.21999999999997,5.0106352940962555
Haryana,Panipat,2014,89.0,397.26,4.499809670330265
Haryana,Panipat,2015,87.0,356.34,4.477336814478207
Haryana,Panipat,2016,89.0,305.1,4.499809670330265
Haryana,Panipat,2017,102.0,380.21,4.634728988229636
Haryana,Panipat,2018,118.0,321.57,4.77912349311153
Haryana,Panipat,2019,86.0,266.77,4.465908118654584
Haryana,Panipat,2020,91.0,400.52,4.5217885770490405
Haryana,Panipat,2021,348.0,1291.09,5.855071922202427
Haryana,Panipat,2022,180.0,540.48,5.198497031265826
Haryana,Panipat,2023,78.0,194.87,4.3694478524670215
Haryana,Rewari,2012,1.0,0.62,0.6931471805599453
Haryana,Rewari,2013,3.0,9.18,1.3862943611198906
Haryana,Rewari,2014,5.0,11.47,1.791759469228055
Haryana,Rewari,2015,4.0,24.61,1.6094379124341003
Haryana,Rewari,2016,17.0,388.62,2.8903717578961645
Haryana,Rewari,2017,7.0,38.05,2.0794415416798357
Haryana,Rewari,2018,1.0,0.88,0.6931471805599453
Haryana,Rewari,2019,4.0,21.23,1.6094379124341003
Haryana,Rewari,2020,6.0,21.09,1.9459101490553132
Haryana,Rewari,2021,0.0,0.0,0.0
Haryana,Rewari,2022,2.0,2.46,1.0986122886681098
Haryana,Rewari,2023,5.0,14.42,1.791759469228055
Haryana,Rohtak,2012,11.0,40.83,2.4849066497880004
Haryana,Rohtak,2013,110.0,453.14,4.709530201312334
Haryana,Rohtak,2014,21.0,66.16,3.091042453358316
Haryana,Rohtak,2015,43.0,114.98,3.784189633918261
Haryana,Rohtak,2016,115.0,398.66,4.7535901911063645
Haryana,Rohtak,2017,86.0,380.01,4.465908118654584
Haryana,Rohtak,2018,52.0,185.92,3.970291913552122
Haryana,Rohtak,2019,22.0,62.68,3.1354942159291497
Haryana,Rohtak,2020,91.0,331.25,4.5217885770490405
Haryana,Rohtak,2021,186.0,735.74,5.231108616854587
Haryana,Rohtak,2022,94.0,356.34,4.553876891600541
Haryana,Rohtak,2023,89.0,311.21,4.499809670330265
Haryana,Sirsa,2012,2129.0,12541.36,7.6638772587034705
Haryana,Sirsa,2013,2739.0,18750.0,7.9157131993821155
Haryana,Sirsa,2014,2767.0,18159.93,7.92588031673756
Haryana,Sirsa,2015,2637.0,18616.41,7.87777633327726
Haryana,Sirsa,2016,2961.0,20494.77,7.993619994827744
Haryana,Sirsa,2017,2050.0,14738.61,7.62608275807238
Haryana,Sirsa,2018,1719.0,10416.42,7.450079569807499
Haryana,Sirsa,2019,412.0,2076.59,6.023447592961033
Haryana,Sirsa,2020,495.0,2610.11,6.206575926724928
Haryana,Sirsa,2021,949.0,5380.49,6.856461984594587
Haryana,Sirsa,2022,447.0,2433.98,6.104793232414985
Haryana,Sirsa,2023,266.0,1173.07,5.58724865840025
Haryana,Sonipat,2012,26.0,77.7,3.295836866004329
Haryana,Sonipat,2013,119.0,330.57,4.787491742782046
Haryana,Sonipat,2014,31.0,72.09,3.4657359027997265
Haryana,Sonipat,2015,40.0,106.28,3.713572066704308
Haryana,Sonipat,2016,86.0,284.56,4.465908118654584
Haryana,Sonipat,2017,76.0,261.32,4.343805421853684
Haryana,Sonipat,2018,47.0,179.25,3.871201010907891
Haryana,Sonipat,2019,37.0,124.36,3.6375861597263857
Haryana,Sonipat,2020,119.0,372.7,4.787491742782046
Haryana,Sonipat,2021,318.0,1085.55,5.765191102784844
Haryana,Sonipat,2022,103.0,339.64,4.6443908991413725
Haryana,Sonipat,2023,83.0,272.2,4.430816798843313
Haryana,Yamunanagar,2012,155.0,630.81,5.049856007249537
Haryana,Yamunanagar,2013,129.0,518.37,4.867534450455582
Haryana,Yamunanagar,2014,211.0,916.51,5.356586274672012
Haryana,Yamunanagar,2015,148.0,556.43,5.003946305945459
Haryana,Yamunanagar,2016,221.0,905.49,5.402677381872279
Haryana,Yamunanagar,2017,297.0,1173.42,5.697093486505405
Haryana,Yamunanagar,2018,210.0,745.7,5.351858133476067
Haryana,Yamunanagar,2019,257.0,1168.81,5.552959584921617
Haryana,Yamunanagar,2020,263.0,1011.88,5.575949103146316
Haryana,Yamunanagar,2021,339.0,1242.0,5.8289456176102075
Haryana,Yamunanagar,2022,203.0,717.66,5.318119993844216
Haryana,Yamunanagar,2023,113.0,393.49,4.736198448394496
Punjab,Amritsar,2012,1277.0,6267.57,7.15305163493748
Punjab,Amritsar,2013,940.0,3838.53,6.846943139585379
Punjab,Amritsar,2014,1026.0,5165.83,6.934397209928558
Punjab,Amritsar,2015,1513.0,7311.53,7.322510433997394
Punjab,Amritsar,2016,1903.0,9025.75,7.55171221535131
Punjab,Amritsar,2017,1198.0,5782.05,7.089243155027514
Punjab,Amritsar,2018,1328.0,6273.95,7.192182058713246
Punjab,Amritsar,2019,1273.0,6064.2,7.149916836132109
Punjab,Amritsar,2020,2125.0,11247.49,7.661997558901893
Punjab,Amritsar,2021,2049.0,9993.34,7.6255950721324535
Punjab,Amritsar,2022,1360.0,6680.96,7.215975002651466
Punjab,Amritsar,2023,1268.0,5722.64,7.1459844677143876
Punjab,Barnala,2012,4078.0,31899.38,8.313607139317558
Punjab,Barnala,2013,3396.0,26089.25,8.130647968160584
Punjab,Barnala,2014,4250.0,36957.68,8.35490952835879
Punjab,Barnala,2015,3572.0,27594.62,8.181160858023409
Punjab,Barnala,2016,4826.0,39422.57,8.481980435660493
Punjab,Barnala,2017,3024.0,19064.68,8.014666370464942
Punjab,Barnala,2018,3187.0,23631.5,8.067149039910106
Punjab,Barnala,2019,2604.0,20396.95,7.865187954187467
Punjab,Barnala,2020,4389.0,34545.08,8.387084506069217
Punjab,Barnala,2021,4295.0,37213.24,8.3654396361887
Punjab,Barnala,2022,2597.0,19438.26,7.862497197230545
Punjab,Barnala,2023,1971.0,13954.4,7.586803535162581
Punjab,Bathinda,2012,4322.0,31659.14,8.371704884667631
Punjab,Bathinda,2013,4150.0,32237.06,8.33110454805304
Punjab,Bathinda,2014,5153.0,41284.86,8.54752839121231
Punjab,Bathinda,2015,4673.0,35551.36,8.449770515098804
Punjab,Bathinda,2016,7548.0,53946.78,8.929170383139624
Punjab,Bathinda,2017,4731.0,31612.85,8.462103225098277
Punjab,Bathinda,2018,6181.0,44849.25,8.729397122692061
Punjab,Bathinda,2019,4862.0,36039.12,8.489410810403786
Punjab,Bathinda,2020,7564.0,58920.12,8.931287626222456
Punjab,Bathinda,2021,8029.0,67381.65,8.990939806940807
Punjab,Bathinda,2022,4530.0,31815.59,8.418697944667139
Punjab,Bathinda,2023,2636.0,17483.66,7.877397186353287
Punjab,Faridkot,2012,2920.0,23126.93,7.979681302387741
Punjab,Faridkot,2013,2617.0,19993.34,7.870165946469845
Punjab,Faridkot,2014,3240.0,26652.36,8.083637203141548
Punjab,Faridkot,2015,2741.0,21326.35,7.91644286012226
Punjab,Faridkot,2016,3843.0,28211.97,8.254268770090183
Punjab,Faridkot,2017,2935.0,20637.37,7.984803389734406
Punjab,Faridkot,2018,2922.0,21676.15,7.980365765111246
Punjab,Faridkot,2019,1970.0,16137.27,7.58629630715272
Punjab,Faridkot,2020,3597.0,32305.23,8.188133414510478
Punjab,Faridkot,2021,3722.0,34985.84,8.222285073872717
Punjab,Faridkot,2022,2275.0,17956.26,7.730174795246222
Punjab,Faridkot,2023,1520.0,11473.27,7.327123292259293
Punjab,Fatehgarh Sahib,2012,2162.0,14010.12,7.679251425953058
Punjab,Fatehgarh Sahib,2013,1849.0,12261.44,7.52294091807237
Punjab,Fatehgarh Sahib,2014,1929.0,13402.91,7.5652752818989315
Punjab,Fatehgarh Sahib,2015,1754.0,11579.35,7.470224135899966
Punjab,Fatehgarh Sahib,2016,2115.0,13834.89,7.65728279297819
Punjab,Fatehgarh Sahib,2017,1431.0,7869.35,7.266827347520591
Punjab,Fatehgarh Sahib,2018,876.0,5089.13,6.776506992372183
Punjab,Fatehgarh Sahib,2019,722.0,4527.59,6.583409222158765
Punjab,Fatehgarh Sahib,2020,1296.0,8310.19,7.167809184316444
Punjab,Fatehgarh Sahib,2021,1719.0,10689.15,7.450079569807499
Punjab,Fatehgarh Sahib,2022,1136.0,6985.65,7.036148493750536
Punjab,Fatehgarh Sahib,2023,720.0,4060.97,6.580639137284949
Punjab,Fazilka,2012,3719.0,27218.37,8.221478947267192
Punjab,Fazilka,2013,3533.0,27460.14,8.170185652879642
Punjab,Fazilka,2014,4502.0,34751.64,8.412499120301572
Punjab,Fazilka,2015,4142.0,32739.8,8.329175442077402
Punjab,Fazilka,2016,4971.0,36109.32,8.511577452630602
Punjab,Fazilka,2017,3977.0,27300.27,8.288534459413917
Punjab,Fazilka,2018,4438.0,33116.43,8.398184404834035
Punjab,Fazilka,2019,2618.0,22378.43,7.870547844507712
Punjab,Fazilka,2020,4912.0,38457.43,8.499640032168648
Punjab,Fazilka,2021,4959.0,43101.55,8.509161019718974
Punjab,Fazilka,2022,3582.0,28054.68,8.183955717304954
Punjab,Fazilka,2023,2093.0,15942.87,7.646831391430482
Punjab,Firozpur,2012,4124.0,31058.66,8.324821298768782
Punjab,Firozpur,2013,4010.0,31149.53,8.296795865770052
Punjab,Firozpur,2014,4704.0,39224.47,8.45638105201948
Punjab,Firozpur,2015,4005.0,30720.26,8.295548516225763
Punjab,Firozpur,2016,5028.0,37234.92,8.522976436171964
Punjab,Firozpur,2017,3749.0,25116.89,8.229511118964457
Punjab,Firozpur,2018,4237.0,33035.57,8.351846738828245
Punjab,Firozpur,2019,3398.0,29358.48,8.131236549696116
Punjab,Firozpur,2020,5324.0,48284.21,8.580167990577626
Punjab,Firozpur,2021,4636.0,45754.43,8.441822884391462
Punjab,Firozpur,2022,3227.0,24934.8,8.07961802938984
Punjab,Firozpur,2023,2450.0,18375.95,7.804251383528112
Punjab,Gurdaspur,2012,1433.0,6782.66,7.2682230211595655
Punjab,Gurdaspur,2013,1159.0,4800.88,7.05617528410041
Punjab,Gurdaspur,2014,1276.0,6087.2,7.152268856032539
Punjab,Gurdaspur,2015,1024.0,4424.41,6.932447891572509
Punjab,Gurdaspur,2016,1909.0,8557.98,7.554858521040676
Punjab,Gurdaspur,2017,1435.0,5832.95,7.269616749608169
Punjab,Gurdaspur,2018,1090.0,4787.09,6.994849985833071
Punjab,Gurdaspur,2019,1351.0,5991.97,7.20934025660291
Punjab,Gurdaspur,2020,2118.0,10213.33,7.6586995582682995
Punjab,Gurdaspur,2021,1512.0,6485.49,7.321849713788356
Punjab,Gurdaspur,2022,909.0,3951.98,6.813444599510896
