state,district,year,dm_kg,dm_tonnes
Haryana,Ambala,2012,27740575.91981868,27740.575919818682
Haryana,Ambala,2013,47234509.3947348,47234.5093947348
Haryana,Ambala,2014,39227642.954317406,39227.64295431741
Haryana,Ambala,2015,38405176.37084495,38405.17637084495
Haryana,Ambala,2016,31661635.960718643,31661.635960718642
Haryana,Ambala,2017,34653795.678108394,34653.79567810839
Haryana,Ambala,2018,18298824.43707339,18298.824437073392
Haryana,Bhiwani,2012,274470.3133161205,274.4703133161205
Haryana,Bhiwani,2013,2205583.3860624004,2205.5833860624
Haryana,Bhiwani,2014,2353340.2991648293,2353.3402991648295
Haryana,Bhiwani,2015,829188.5641837541,829.1885641837541
Haryana,Bhiwani,2016,16973418.330695,16973.418330695
Haryana,Bhiwani,2017,6011546.609533266,6011.546609533266
Haryana,Bhiwani,2018,1255617.8823729104,1255.6178823729103
Haryana,Faridabad,2012,271203.6195951895,271.20361959518954
Haryana,Faridabad,2013,263970.62521879724,263.97062521879724
Haryana,Faridabad,2014,1026165.119150496,1026.165119150496
Haryana,Faridabad,2015,110978.06247658894,110.97806247658893
Haryana,Faridabad,2016,1320310.8767052852,1320.3108767052852
Haryana,Faridabad,2017,500916.4404031146,500.9164404031146
Haryana,Faridabad,2018,377838.3347926509,377.83833479265087
Haryana,Fatehabad,2012,428009471.52099633,428009.4715209963
Haryana,Fatehabad,2013,500471112.78579676,500471.11278579675
Haryana,Fatehabad,2014,392500162.33358324,392500.1623335832
Haryana,Fatehabad,2015,435551966.784787,435551.966784787
Haryana,Fatehabad,2016,485125759.06597865,485125.75906597864
Haryana,Fatehabad,2017,418590721.8819964,418590.7218819964
Haryana,Fatehabad,2018,407564062.4155592,407564.0624155592
Haryana,Gurgaon,2012,11257.525769359112,11.257525769359113
Haryana,Gurgaon,2013,314485.85993314156,314.48585993314157
Haryana,Gurgaon,2014,4.767182120114244,0.004767182120114244
Haryana,Gurgaon,2015,10086.331777167537,10.086331777167537
Haryana,Gurgaon,2016,4295.356735816702,4.295356735816702
Haryana,Gurgaon,2017,31766.86528380967,31.766865283809672
Haryana,Gurgaon,2018,354470.4126020209,354.4704126020209
Haryana,Hisar,2012,12067075.98875494,12067.07598875494
Haryana,Hisar,2013,33439436.28506131,33439.43628506131
Haryana,Hisar,2014,9545182.876944995,9545.182876944995
Haryana,Hisar,2015,17173481.64587506,17173.481645875057
Haryana,Hisar,2016,37762014.786565006,37762.01478656501
Haryana,Hisar,2017,20077487.797675267,20077.48779767527
Haryana,Hisar,2018,20277679.6949062,20277.6796949062
Haryana,Jhajjar,2012,40633.05560399149,40.63305560399149
Haryana,Jhajjar,2013,815976.3924128497,815.9763924128497
Haryana,Jhajjar,2014,2683051.7627923056,2683.0517627923055
Haryana,Jhajjar,2015,1204.9335029084968,1.2049335029084969
Haryana,Jhajjar,2016,132258.97456717648,132.2589745671765
Haryana,Jhajjar,2017,3212315.2825292847,3212.3152825292846
Haryana,Jhajjar,2018,60331.33795476251,60.33133795476251
Haryana,Jind,2012,56263275.86535259,56263.275865352596
Haryana,Jind,2013,96912869.61459309,96912.86961459309
Haryana,Jind,2014,70404154.39687833,70404.15439687834
Haryana,Jind,2015,77314970.76568714,77314.97076568713
Haryana,Jind,2016,97990293.15460281,97990.29315460281
Haryana,Jind,2017,69899028.98192824,69899.02898192825
Haryana,Jind,2018,94438285.01580007,94438.28501580008
Haryana,Kaithal,2012,186022935.1117964,186022.9351117964
Haryana,Kaithal,2013,231836627.5670812,231836.62756708122
Haryana,Kaithal,2014,204070723.26503408,204070.7232650341
Haryana,Kaithal,2015,220586588.68275547,220586.58868275548
Haryana,Kaithal,2016,245024892.1420189,245024.8921420189
Haryana,Kaithal,2017,241395724.36965707,241395.72436965708
Haryana,Kaithal,2018,170898212.27963272,170898.21227963272
Haryana,Karnal,2012,100239413.73215441,100239.41373215441
Haryana,Karnal,2013,77692273.99132687,77692.27399132687
Haryana,Karnal,2014,110983863.97739111,110983.86397739111
Haryana,Karnal,2015,90846334.41381273,90846.33441381273
Haryana,Karnal,2016,140475083.4528897,140475.08345288972
Haryana,Karnal,2017,134454140.08895984,134454.14008895983
Haryana,Karnal,2018,44161767.703245975,44161.767703245976
Haryana,Kurukshetra,2012,94513916.26952308,94513.91626952308
Haryana,Kurukshetra,2013,93724916.5850265,93724.9165850265
Haryana,Kurukshetra,2014,80897289.96477923,80897.28996477922
Haryana,Kurukshetra,2015,73763548.23894519,73763.54823894518
Haryana,Kurukshetra,2016,78304981.16287047,78304.98116287046
Haryana,Kurukshetra,2017,89206478.81856322,89206.47881856322
Haryana,Kurukshetra,2018,53401566.710912816,53401.56671091282
Haryana,Mahendragarh,2012,168680.92287240335,168.68092287240336
Haryana,Mahendragarh,2013,0.0,0.0
Haryana,Mahendragarh,2014,32165.597045125807,32.16559704512581
Haryana,Mahendragarh,2015,211006.55665566574,211.00655665566575
Haryana,Mahendragarh,2016,242775.2066773856,242.7752066773856
Haryana,Mahendragarh,2017,552028.9049782963,552.0289049782963
Haryana,Mahendragarh,2018,9555.404331638189,9.555404331638188
Haryana,Mewat,2012,8709464.239266686,8709.464239266686
Haryana,Mewat,2013,16729643.688863892,16729.643688863893
Haryana,Mewat,2014,14279250.607502552,14279.250607502552
Haryana,Mewat,2015,12371670.604005184,12371.670604005183
Haryana,Mewat,2016,24853894.973104555,24853.894973104554
Haryana,Mewat,2017,17807703.320211366,17807.703320211367
Haryana,Mewat,2018,10892557.328052651,10892.557328052651
Haryana,Palwal,2012,50178258.512480855,50178.258512480854
Haryana,Palwal,2013,96577487.70755011,96577.48770755011
Haryana,Palwal,2014,84699578.32461838,84699.57832461839
Haryana,Palwal,2015,71664568.30679193,71664.56830679193
Haryana,Palwal,2016,150748233.6680074,150748.2336680074
Haryana,Palwal,2017,106728722.95661071,106728.72295661071
Haryana,Palwal,2018,66368059.169519566,66368.05916951956
