state,district,year,iso_week,tmax_mean,tmin_mean,precip_sum,rain_days,dry_days,wind_max_mean,wind_calm_days,et0_sum,n_days
Haryana,Ambala,2012,35,31.799999999999997,24.5,14.799999999999999,2,0,10.4,1,7.02,2
Haryana,Ambala,2012,36,30.5,24.62857142857143,45.9,6,0,14.471428571428572,1,24.799999999999997,7
Haryana,Ambala,2012,37,30.67142857142857,24.585714285714285,25.3,5,0,10.685714285714285,3,21.4,7
Haryana,Ambala,2012,38,29.82857142857143,21.714285714285715,29.3,3,4,14.442857142857141,1,26.919999999999998,7
Haryana,Ambala,2012,39,31.042857142857144,19.97142857142857,0.0,0,7,14.785714285714286,0,31.82,7
Haryana,Ambala,2012,40,31.857142857142858,19.414285714285715,0.0,0,7,14.757142857142856,1,33.12,7
Haryana,Ambala,2012,41,30.557142857142857,16.771428571428572,0.0,0,7,10.928571428571429,4,30.07,7
Haryana,Ambala,2012,42,28.914285714285715,16.54285714285714,3.6,1,5,11.414285714285715,4,26.509999999999998,7
Haryana,Ambala,2012,43,27.02857142857143,14.514285714285714,0.0,0,7,11.528571428571428,3,26.41,7
Haryana,Ambala,2012,44,27.714285714285715,14.828571428571427,0.0,0,7,9.242857142857144,4,23.97,7
Haryana,Ambala,2012,45,26.414285714285715,13.285714285714286,0.1,0,7,11.785714285714286,2,23.13,7
Haryana,Ambala,2012,46,25.442857142857143,12.071428571428571,0.0,0,7,10.5,4,21.419999999999998,7
Haryana,Ambala,2012,47,24.271428571428572,10.428571428571429,0.0,0,7,11.571428571428571,3,20.96,7
Haryana,Ambala,2012,48,23.14,10.08,4.9,1,4,14.040000000000001,0,14.84,5
Haryana,Ambala,2013,35,32.1,23.7,0.6,0,0,17.6,0,4.52,1
Haryana,Ambala,2013,36,31.271428571428572,23.285714285714285,15.2,3,1,14.671428571428573,1,29.830000000000002,7
Haryana,Ambala,2013,37,31.314285714285713,22.928571428571427,4.0,1,2,11.414285714285715,2,29.490000000000002,7
Haryana,Ambala,2013,38,31.514285714285712,21.8,11.399999999999999,3,4,12.4,2,29.04,7
Haryana,Ambala,2013,39,31.2,23.642857142857142,24.9,5,1,9.171428571428573,4,25.09,7
Haryana,Ambala,2013,40,30.042857142857144,22.2,23.400000000000002,3,2,9.771428571428572,5,24.18,7
Haryana,Ambala,2013,41,29.099999999999998,22.642857142857142,16.0,6,0,11.971428571428572,4,18.12,7
Haryana,Ambala,2013,42,30.285714285714285,17.95714285714286,0.4,0,6,11.299999999999999,3,28.03,7
Haryana,Ambala,2013,43,28.885714285714283,16.428571428571427,0.0,0,7,9.885714285714286,5,25.52,7
Haryana,Ambala,2013,44,27.87142857142857,14.414285714285715,1.2999999999999998,0,5,12.985714285714286,3,26.83,7
Haryana,Ambala,2013,45,24.557142857142857,12.814285714285715,10.7,2,4,10.214285714285714,4,20.28,7
Haryana,Ambala,2013,46,24.642857142857142,9.685714285714285,0.0,0,7,10.671428571428573,4,21.759999999999998,7
Haryana,Ambala,2013,47,24.557142857142857,10.857142857142858,0.0,0,7,12.0,2,21.02,7
Haryana,Ambala,2013,48,25.599999999999998,12.533333333333333,0.0,0,6,17.483333333333334,1,22.32,6
Haryana,Ambala,2014,36,30.285714285714285,24.62857142857143,122.8,7,0,16.342857142857145,3,22.76,7
Haryana,Ambala,2014,37,30.442857142857143,23.642857142857142,41.3,4,1,10.62857142857143,3,24.57,7
Haryana,Ambala,2014,38,32.614285714285714,22.457142857142856,1.9000000000000001,1,5,12.114285714285714,2,32.53,7
Haryana,Ambala,2014,39,32.785714285714285,22.2,1.5,1,6,16.2,0,34.87,7
Haryana,Ambala,2014,40,31.37142857142857,21.87142857142857,3.7,1,5,12.87142857142857,0,26.880000000000003,7
Haryana,Ambala,2014,41,32.3,20.414285714285715,1.6,0,4,12.042857142857143,2,31.950000000000003,7
Haryana,Ambala,2014,42,28.542857142857144,16.757142857142856,18.3,1,6,11.37142857142857,2,26.78,7
Haryana,Ambala,2014,43,28.957142857142856,17.0,4.2,1,6,8.514285714285714,6,24.24,7
Haryana,Ambala,2014,44,28.285714285714285,15.514285714285714,0.3,0,6,12.271428571428572,2,27.37,7
Haryana,Ambala,2014,45,28.985714285714288,16.271428571428572,0.0,0,7,15.87142857142857,0,29.27,7
Haryana,Ambala,2014,46,26.400000000000002,12.1,0.0,0,7,14.4,0,26.669999999999998,7
Haryana,Ambala,2014,47,25.67142857142857,10.571428571428571,0.0,0,7,12.385714285714286,0,23.35,7
Haryana,Ambala,2014,48,25.5,11.242857142857144,0.2,0,6,12.971428571428573,3,22.44,7
Haryana,Ambala,2015,36,32.46666666666667,23.116666666666664,2.5,0,2,18.400000000000002,0,30.880000000000003,6
Haryana,Ambala,2015,37,33.48571428571429,21.87142857142857,0.6,0,6,17.5,0,38.98,7
Haryana,Ambala,2015,38,32.4,23.514285714285712,12.0,2,2,10.514285714285714,1,28.46,7
Haryana,Ambala,2015,39,30.0,22.042857142857144,78.7,2,1,16.25714285714286,0,26.07,7
Haryana,Ambala,2015,40,31.97142857142857,18.685714285714287,0.0,0,7,12.728571428571428,2,33.14,7
Haryana,Ambala,2015,41,33.01428571428571,19.928571428571427,0.0,0,7,14.0,1,32.51,7
Haryana,Ambala,2015,42,30.585714285714285,20.142857142857142,1.1,0,5,13.085714285714285,2,26.3,7
Haryana,Ambala,2015,43,31.271428571428572,17.4,1.3,1,6,14.142857142857142,1,30.630000000000003,7
Haryana,Ambala,2015,44,28.385714285714283,15.585714285714285,7.3,1,5,10.385714285714286,2,25.29,7
Haryana,Ambala,2015,45,27.32857142857143,15.971428571428572,18.4,1,5,9.214285714285714,5,21.96,7
Haryana,Ambala,2015,46,27.714285714285715,15.142857142857142,0.0,0,7,15.757142857142858,0,25.84,7
Haryana,Ambala,2015,47,26.342857142857145,13.142857142857142,0.0,0,7,11.742857142857144,4,22.5,7
