state,district,financial_year,metric,value,unit,source_url,notes
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_happy_seeder,472,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_super_seeder,690,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_paddy_straw_chopper,268,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_mulcher,270,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_rmb_plough,244,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_zero_till_drill,562,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_super_sms,126,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_rotary_slasher,28,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_shrub_master,16,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
Punjab,Amritsar,2018-19_to_2021-22_cum,crm_machines_cutter_cum_spreader,4,machines,https://ppcb.punjab.gov.in/media/documents/FINAL_Action_Plan_Stubble_Burning_29May2022.pdf,"PPCB Action Plan for Control of Stubble Burning 2022, p.27: 'District Wise CRM Machinery provided under Subsidy 2018-19 to 2021-22' (cumulative achievement, machines provided under subsidy)"
